name,AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y,target
CPP_positive_1,0.1025641025641025,0.0769230769230769,0.0,0.0256410256410256,0.0512820512820512,0.0512820512820512,0.0256410256410256,0.0256410256410256,0.0512820512820512,0.0256410256410256,0.1025641025641025,0.0769230769230769,0.0512820512820512,0.0769230769230769,0.0,0.0512820512820512,0.0256410256410256,0.0256410256410256,0.0256410256410256,0.1282051282051282,1
CPP_positive_2,0.0,0.0,0.0714285714285714,0.0,0.0714285714285714,0.0714285714285714,0.0,0.0714285714285714,0.0714285714285714,0.0,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.1428571428571428,0.0714285714285714,0.0,0.0,0.0714285714285714,0.0,0.1428571428571428,1
CPP_positive_3,0.0,0.0,0.0,0.0714285714285714,0.1428571428571428,0.0,0.0,0.0714285714285714,0.0,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0,0.0714285714285714,0.1428571428571428,0.0714285714285714,0.0714285714285714,0.1428571428571428,0.0,0.0,1
CPP_negative_4,0.0,0.0,0.0,0.05,0.0,0.1,0.0,0.0,0.15,0.15,0.0,0.0,0.0,0.05,0.3,0.0,0.0,0.1,0.05,0.05,0
CPP_negative_5,0.1666666666666666,0.0,0.0,0.0,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,0.25,0.1666666666666666,0.0,0.0,0.0,0
CPP_negative_6,0.0588235294117647,0.1764705882352941,0.0,0.0,0.0,0.2941176470588235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4705882352941176,0.0,0.0,0.0,0.0,0.0,0
CPP_positive_7,0.0,0.125,0.0,0.0625,0.0625,0.0,0.0,0.0625,0.125,0.0625,0.0625,0.0625,0.0625,0.0,0.0625,0.125,0.0,0.0625,0.0625,0.0,1
CPP_positive_8,0.0,0.0666666666666666,0.0666666666666666,0.1333333333333333,0.0666666666666666,0.0666666666666666,0.0,0.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.0666666666666666,0.0666666666666666,0.0,0.0666666666666666,0.0,0.2666666666666666,0.0,1
CPP_negative_9,0.0,0.0,0.0,0.08,0.28,0.12,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.08,0.0,0.0,0.0,0
CPP_negative_10,0.0333333333333333,0.0,0.0333333333333333,0.0666666666666666,0.05,0.0,0.0166666666666666,0.0833333333333333,0.1,0.0666666666666666,0.0166666666666666,0.05,0.0,0.0666666666666666,0.2,0.0666666666666666,0.0833333333333333,0.0,0.0166666666666666,0.05,0
