name,CTDC_hydrophobicity_PRAM900101.G1,CTDC_hydrophobicity_PRAM900101.G2,CTDC_hydrophobicity_PRAM900101.G3,CTDC_hydrophobicity_ARGP820101.G1,CTDC_hydrophobicity_ARGP820101.G2,CTDC_hydrophobicity_ARGP820101.G3,CTDC_hydrophobicity_ZIMJ680101.G1,CTDC_hydrophobicity_ZIMJ680101.G2,CTDC_hydrophobicity_ZIMJ680101.G3,CTDC_hydrophobicity_PONP930101.G1,CTDC_hydrophobicity_PONP930101.G2,CTDC_hydrophobicity_PONP930101.G3,CTDC_hydrophobicity_CASG920101.G1,CTDC_hydrophobicity_CASG920101.G2,CTDC_hydrophobicity_CASG920101.G3,CTDC_hydrophobicity_ENGD860101.G1,CTDC_hydrophobicity_ENGD860101.G2,CTDC_hydrophobicity_ENGD860101.G3,CTDC_hydrophobicity_FASG890101.G1,CTDC_hydrophobicity_FASG890101.G2,CTDC_hydrophobicity_FASG890101.G3,CTDC_normwaalsvolume.G1,CTDC_normwaalsvolume.G2,CTDC_normwaalsvolume.G3,CTDC_polarity.G1,CTDC_polarity.G2,CTDC_polarity.G3,CTDC_polarizability.G1,CTDC_polarizability.G2,CTDC_polarizability.G3,CTDC_charge.G1,CTDC_charge.G2,CTDC_charge.G3,CTDC_secondarystruct.G1,CTDC_secondarystruct.G2,CTDC_secondarystruct.G3,CTDC_solventaccess.G1,CTDC_solventaccess.G2,CTDC_solventaccess.G3,target
CPP_positive_1,0.2307692307692307,0.4358974358974359,0.3333333333333332,0.3076923076923077,0.3846153846153846,0.3076923076923076,0.4358974358974359,0.282051282051282,0.282051282051282,0.358974358974359,0.1794871794871795,0.4615384615384614,0.4102564102564102,0.4102564102564102,0.1794871794871795,0.4358974358974359,0.2564102564102564,0.3076923076923077,0.2051282051282051,0.2051282051282051,0.5897435897435899,0.358974358974359,0.2564102564102564,0.3846153846153846,0.4615384615384615,0.282051282051282,0.2564102564102564,0.2307692307692307,0.3846153846153846,0.3846153846153845,0.0512820512820512,0.9230769230769232,0.0256410256410255,0.4102564102564102,0.358974358974359,0.2307692307692307,0.3846153846153846,0.2307692307692307,0.3846153846153846,1
CPP_positive_2,0.4285714285714285,0.2857142857142857,0.2857142857142857,0.3571428571428571,0.2857142857142857,0.3571428571428571,0.4285714285714285,0.2142857142857142,0.3571428571428571,0.4285714285714285,0.1428571428571428,0.4285714285714285,0.5714285714285714,0.2857142857142857,0.1428571428571429,0.6428571428571429,0.0714285714285714,0.2857142857142857,0.3571428571428571,0.2142857142857142,0.4285714285714285,0.2142857142857142,0.3571428571428571,0.4285714285714285,0.4285714285714285,0.1428571428571428,0.4285714285714285,0.1428571428571428,0.4285714285714285,0.4285714285714286,0.1428571428571428,0.7857142857142857,0.0714285714285715,0.3571428571428571,0.3571428571428571,0.2857142857142856,0.2857142857142857,0.4285714285714285,0.2857142857142857,1
CPP_positive_3,0.3571428571428571,0.1428571428571428,0.4999999999999999,0.3571428571428571,0.3571428571428571,0.2857142857142856,0.5,0.2142857142857142,0.2857142857142857,0.3571428571428571,0.1428571428571428,0.4999999999999999,0.5,0.2857142857142857,0.2142857142857143,0.3571428571428571,0.1428571428571428,0.4999999999999999,0.3571428571428571,0.1428571428571428,0.4999999999999999,0.1428571428571428,0.5,0.3571428571428572,0.5,0.1428571428571428,0.3571428571428571,0.1428571428571428,0.5,0.3571428571428572,0.1428571428571428,0.7857142857142857,0.0714285714285715,0.4285714285714285,0.4285714285714285,0.1428571428571428,0.4285714285714285,0.3571428571428571,0.2142857142857142,1
CPP_negative_4,0.55,0.15,0.2999999999999999,0.2,0.55,0.25,0.55,0.25,0.1999999999999999,0.25,0.4,0.35,0.65,0.3,0.0499999999999999,0.6,0.15,0.25,0.55,0.1,0.35,0.1,0.35,0.55,0.35,0.1,0.55,0.1,0.35,0.55,0.45,0.5,0.05,0.7,0.2,0.1,0.4,0.55,0.0499999999999999,0
CPP_negative_5,0.25,0.6666666666666666,0.0833333333333333,0.6666666666666666,0.3333333333333333,5.551115123125783e-17,0.9166666666666666,0.0833333333333333,4.163336342344337e-17,0.5833333333333334,0.3333333333333333,0.0833333333333333,0.75,0.25,0.0,0.25,0.6666666666666666,0.0833333333333333,0.4166666666666667,0.3333333333333333,0.2499999999999999,0.6666666666666666,0.1666666666666666,0.1666666666666667,0.0833333333333333,0.6666666666666666,0.25,0.6666666666666666,0.1666666666666666,0.1666666666666667,0.0833333333333333,0.9166666666666666,0.0,0.4166666666666667,0.1666666666666666,0.4166666666666666,0.25,0.25,0.5,0
CPP_negative_6,0.4705882352941176,0.3529411764705882,0.1764705882352941,0.2941176470588235,0.7058823529411765,-1.1102230246251563e-16,0.8235294117647058,0.1764705882352941,2.775557561562892e-17,0.0,0.8235294117647058,0.1764705882352941,0.7647058823529411,0.0588235294117647,0.1764705882352941,0.4705882352941176,0.3529411764705882,0.1764705882352941,0.4705882352941176,0.2941176470588235,0.2352941176470588,0.5294117647058824,0.0,0.4705882352941176,0.1764705882352941,0.3529411764705882,0.4705882352941176,0.3529411764705882,0.1764705882352941,0.4705882352941175,0.4705882352941176,0.5294117647058824,0.0,0.5294117647058824,0.1764705882352941,0.2941176470588235,0.5294117647058824,0.4705882352941176,0.0,0
CPP_positive_7,0.3125,0.1875,0.5,0.25,0.4375,0.3125,0.375,0.375,0.25,0.4375,0.0625,0.5,0.5,0.1875,0.3125,0.375,0.1875,0.4375,0.375,0.125,0.5,0.3125,0.3125,0.375,0.5,0.1875,0.3125,0.125,0.5,0.375,0.1875,0.75,0.0625,0.375,0.375,0.25,0.4375,0.3125,0.25,1
CPP_positive_8,0.3333333333333333,0.1333333333333333,0.5333333333333334,0.4,0.1333333333333333,0.4666666666666667,0.7333333333333333,0.0666666666666666,0.2,0.3333333333333333,0.1333333333333333,0.5333333333333334,0.4666666666666667,0.0,0.5333333333333333,0.3333333333333333,0.4,0.2666666666666667,0.3333333333333333,0.1333333333333333,0.5333333333333334,0.2666666666666666,0.3333333333333333,0.4000000000000001,0.5333333333333333,0.1333333333333333,0.3333333333333333,0.2,0.4,0.4,0.0666666666666666,0.7333333333333333,0.2,0.2666666666666666,0.6,0.1333333333333334,0.6,0.3333333333333333,0.0666666666666667,1
CPP_negative_9,0.44,0.28,0.28,0.28,0.44,0.2799999999999999,0.64,0.08,0.2799999999999999,0.16,0.56,0.2799999999999999,0.64,0.08,0.2799999999999999,0.52,0.2,0.2799999999999999,0.44,0.2,0.36,0.2,0.08,0.7200000000000001,0.28,0.2,0.52,0.2,0.08,0.7200000000000001,0.36,0.56,0.0799999999999999,0.52,0.36,0.12,0.4,0.44,0.1599999999999999,0
CPP_negative_10,0.5166666666666667,0.25,0.2333333333333332,0.3666666666666666,0.3666666666666666,0.2666666666666666,0.6166666666666667,0.1333333333333333,0.2499999999999999,0.4666666666666667,0.25,0.2833333333333333,0.6666666666666666,0.1833333333333333,0.15,0.5833333333333334,0.2,0.2166666666666666,0.5333333333333333,0.1333333333333333,0.3333333333333333,0.2166666666666666,0.3333333333333333,0.45,0.2833333333333333,0.1833333333333333,0.5333333333333333,0.2166666666666666,0.3333333333333333,0.45,0.3,0.6,0.0999999999999999,0.5666666666666667,0.2833333333333333,0.15,0.25,0.5166666666666667,0.2333333333333332,0
