name,tpye10_T1.G.1_T1.G.1_gap2,tpye10_T1.G.1_T1.G.2_gap2,tpye10_T1.G.2_T1.G.1_gap2,tpye10_T1.G.2_T1.G.2_gap2,target
CPP_positive_1,3.0,2.0,3.0,5.0,1
CPP_positive_2,1.0,1.0,2.0,1.0,1
CPP_positive_3,1.0,2.0,1.0,1.0,1
CPP_negative_4,1.0,2.0,0.0,4.0,0
CPP_negative_5,0.0,0.0,1.0,3.0,0
CPP_negative_6,0.0,1.0,1.0,4.0,0
CPP_positive_7,2.0,0.0,2.0,1.0,1
CPP_positive_8,1.0,0.0,3.0,1.0,1
CPP_negative_9,0.0,2.0,3.0,3.0,0
CPP_negative_10,1.0,5.0,7.0,7.0,0
CPP_positive_11,1.0,0.0,3.0,0.0,1
CPP_negative_12,0.0,1.0,2.0,7.0,0
CPP_negative_13,1.0,3.0,0.0,4.0,0
CPP_positive_14,0.0,2.0,1.0,1.0,1
CPP_negative_15,0.0,3.0,0.0,3.0,0
CPP_positive_16,0.0,4.0,1.0,3.0,1
CPP_positive_17,2.0,3.0,1.0,5.0,1
CPP_negative_18,0.0,0.0,3.0,1.0,0
CPP_negative_19,1.0,0.0,2.0,1.0,0
CPP_positive_20,1.0,2.0,5.0,4.0,1
CPP_negative_21,2.0,0.0,1.0,3.0,0
CPP_positive_22,1.0,2.0,2.0,1.0,1
CPP_negative_23,0.0,4.0,2.0,4.0,0
CPP_negative_24,0.0,0.0,1.0,6.0,0
CPP_negative_25,0.0,1.0,2.0,1.0,0
CPP_positive_26,0.0,0.0,0.0,3.0,1
CPP_negative_27,2.0,1.0,0.0,1.0,0
CPP_positive_28,2.0,0.0,1.0,4.0,1
CPP_negative_29,1.0,1.0,4.0,1.0,0
CPP_positive_30,2.0,3.0,3.0,5.0,1
CPP_negative_31,1.0,1.0,1.0,2.0,0
CPP_positive_32,3.0,3.0,4.0,2.0,1
CPP_positive_33,2.0,1.0,1.0,2.0,1
CPP_negative_34,0.0,3.0,1.0,6.0,0
CPP_negative_35,0.0,2.0,0.0,6.0,0
CPP_positive_36,1.0,0.0,1.0,1.0,1
CPP_positive_37,1.0,1.0,0.0,3.0,1
CPP_negative_38,0.0,0.0,0.0,4.0,0
CPP_positive_39,2.0,0.0,1.0,1.0,1
CPP_negative_40,2.0,0.0,1.0,4.0,0
CPP_negative_41,1.0,2.0,0.0,2.0,0
CPP_negative_42,1.0,1.0,0.0,2.0,0
CPP_negative_43,2.0,4.0,3.0,0.0,0
CPP_positive_44,0.0,2.0,0.0,2.0,1
CPP_positive_45,2.0,1.0,3.0,5.0,1
CPP_positive_46,1.0,1.0,2.0,2.0,1
CPP_negative_47,0.0,0.0,0.0,4.0,0
CPP_positive_48,4.0,2.0,3.0,1.0,1
CPP_negative_49,0.0,0.0,0.0,8.0,0
CPP_negative_50,1.0,1.0,1.0,2.0,0
CPP_positive_51,2.0,0.0,1.0,0.0,1
CPP_negative_52,0.0,2.0,4.0,2.0,0
CPP_negative_53,1.0,2.0,0.0,4.0,0
CPP_negative_54,1.0,2.0,2.0,1.0,0
CPP_negative_55,0.0,1.0,2.0,2.0,0
CPP_positive_56,0.0,0.0,1.0,3.0,1
CPP_negative_57,0.0,3.0,2.0,1.0,0
CPP_positive_58,0.0,2.0,0.0,3.0,1
CPP_negative_59,2.0,2.0,1.0,2.0,0
CPP_positive_60,2.0,2.0,1.0,1.0,1
CPP_positive_61,1.0,1.0,7.0,2.0,1
CPP_negative_62,2.0,2.0,2.0,0.0,0
CPP_positive_63,1.0,2.0,2.0,1.0,1
CPP_negative_64,2.0,0.0,0.0,4.0,0
CPP_positive_65,5.0,2.0,2.0,3.0,1
CPP_negative_66,0.0,3.0,2.0,2.0,0
CPP_positive_67,0.0,1.0,1.0,2.0,1
CPP_positive_68,0.0,1.0,1.0,2.0,1
CPP_negative_69,0.0,1.0,2.0,1.0,0
CPP_positive_70,0.0,2.0,2.0,1.0,1
CPP_negative_71,2.0,1.0,0.0,7.0,0
CPP_negative_72,1.0,3.0,2.0,0.0,0
CPP_negative_73,0.0,6.0,3.0,3.0,0
CPP_negative_74,0.0,1.0,1.0,2.0,0
CPP_positive_75,0.0,2.0,2.0,2.0,1
CPP_positive_76,0.0,2.0,3.0,4.0,1
CPP_negative_77,0.0,0.0,0.0,5.0,0
CPP_negative_78,0.0,1.0,1.0,2.0,0
CPP_positive_79,2.0,1.0,0.0,4.0,1
CPP_positive_80,1.0,5.0,3.0,2.0,1
CPP_positive_81,1.0,2.0,1.0,4.0,1
CPP_negative_82,0.0,0.0,3.0,1.0,0
CPP_negative_83,1.0,3.0,1.0,4.0,0
CPP_positive_84,1.0,3.0,4.0,0.0,1
CPP_negative_85,0.0,1.0,0.0,5.0,0
CPP_negative_86,1.0,1.0,0.0,2.0,0
CPP_negative_87,0.0,2.0,1.0,2.0,0
CPP_negative_88,1.0,0.0,1.0,5.0,0
CPP_positive_89,2.0,2.0,0.0,1.0,1
CPP_positive_90,2.0,4.0,5.0,6.0,1
CPP_positive_91,0.0,1.0,3.0,2.0,1
CPP_negative_92,0.0,2.0,1.0,2.0,0
CPP_negative_93,0.0,1.0,1.0,4.0,0
CPP_negative_94,0.0,3.0,3.0,2.0,0
CPP_negative_95,1.0,3.0,1.0,7.0,0
CPP_negative_96,2.0,1.0,2.0,2.0,0
CPP_positive_97,0.0,1.0,3.0,3.0,1
CPP_positive_98,0.0,2.0,2.0,1.0,1
CPP_negative_99,1.0,2.0,0.0,1.0,0
CPP_negative_100,0.0,0.0,4.0,0.0,0
CPP_positive_101,1.0,1.0,3.0,2.0,1
CPP_negative_102,1.0,5.0,2.0,2.0,0
CPP_positive_103,1.0,2.0,1.0,0.0,1
CPP_negative_104,2.0,1.0,0.0,3.0,0
CPP_positive_105,0.0,1.0,2.0,2.0,1
CPP_negative_106,2.0,1.0,0.0,1.0,0
CPP_positive_107,2.0,5.0,2.0,2.0,1
CPP_negative_108,1.0,1.0,0.0,3.0,0
CPP_negative_109,0.0,0.0,2.0,8.0,0
CPP_negative_110,0.0,1.0,1.0,4.0,0
CPP_negative_111,0.0,2.0,2.0,6.0,0
CPP_positive_112,1.0,1.0,1.0,0.0,1
CPP_negative_113,0.0,3.0,3.0,3.0,0
CPP_positive_114,0.0,0.0,1.0,2.0,1
CPP_negative_115,1.0,2.0,2.0,4.0,0
CPP_positive_116,0.0,2.0,0.0,2.0,1
CPP_negative_117,1.0,0.0,2.0,3.0,0
CPP_positive_118,3.0,4.0,2.0,2.0,1
CPP_positive_119,1.0,1.0,4.0,6.0,1
CPP_negative_120,2.0,0.0,2.0,6.0,0
CPP_positive_121,1.0,1.0,2.0,5.0,1
CPP_positive_122,1.0,2.0,2.0,0.0,1
CPP_negative_123,2.0,2.0,4.0,5.0,0
CPP_negative_124,0.0,0.0,0.0,11.0,0
CPP_positive_125,1.0,3.0,1.0,0.0,1
CPP_negative_126,0.0,0.0,1.0,4.0,0
CPP_positive_127,0.0,0.0,2.0,2.0,1
CPP_negative_128,1.0,1.0,0.0,2.0,0
CPP_negative_129,0.0,3.0,1.0,1.0,0
CPP_negative_130,0.0,1.0,1.0,2.0,0
CPP_negative_131,0.0,4.0,3.0,4.0,0
CPP_negative_132,0.0,0.0,0.0,7.0,0
CPP_positive_133,1.0,2.0,3.0,3.0,1
CPP_positive_134,1.0,0.0,2.0,1.0,1
CPP_negative_135,4.0,0.0,0.0,1.0,0
CPP_positive_136,2.0,1.0,1.0,4.0,1
CPP_positive_137,1.0,3.0,3.0,4.0,1
CPP_negative_138,0.0,3.0,0.0,3.0,0
CPP_negative_139,0.0,1.0,1.0,4.0,0
CPP_negative_140,0.0,0.0,0.0,6.0,0
CPP_negative_141,1.0,2.0,3.0,3.0,0
CPP_negative_142,0.0,0.0,2.0,3.0,0
CPP_positive_143,2.0,6.0,0.0,2.0,1
CPP_positive_144,2.0,1.0,0.0,2.0,1
CPP_negative_145,1.0,0.0,3.0,0.0,0
CPP_negative_146,2.0,3.0,1.0,1.0,0
CPP_positive_147,1.0,1.0,1.0,2.0,1
CPP_positive_148,1.0,8.0,1.0,0.0,1
CPP_negative_149,1.0,2.0,1.0,5.0,0
CPP_negative_150,0.0,3.0,1.0,1.0,0
CPP_positive_151,0.0,2.0,1.0,1.0,1
CPP_negative_152,1.0,4.0,3.0,1.0,0
CPP_negative_153,1.0,2.0,0.0,5.0,0
CPP_negative_154,0.0,1.0,0.0,5.0,0
CPP_negative_155,0.0,0.0,1.0,5.0,0
CPP_positive_156,2.0,2.0,1.0,2.0,1
CPP_negative_157,0.0,0.0,2.0,2.0,0
CPP_positive_158,1.0,2.0,1.0,2.0,1
CPP_negative_159,0.0,2.0,0.0,3.0,0
CPP_positive_160,4.0,0.0,4.0,7.0,1
CPP_positive_161,1.0,3.0,4.0,4.0,1
CPP_negative_162,0.0,4.0,2.0,7.0,0
CPP_negative_163,1.0,1.0,1.0,1.0,0
CPP_positive_164,2.0,2.0,3.0,2.0,1
CPP_positive_165,0.0,2.0,1.0,1.0,1
CPP_positive_166,0.0,1.0,2.0,1.0,1
CPP_positive_167,0.0,3.0,5.0,5.0,1
CPP_negative_168,0.0,2.0,0.0,2.0,0
CPP_negative_169,1.0,1.0,1.0,3.0,0
CPP_positive_170,0.0,2.0,1.0,1.0,1
CPP_negative_171,0.0,2.0,2.0,4.0,0
CPP_negative_172,1.0,2.0,1.0,7.0,0
CPP_negative_173,0.0,4.0,4.0,3.0,0
CPP_positive_174,1.0,2.0,1.0,0.0,1
CPP_positive_175,1.0,2.0,0.0,1.0,1
CPP_negative_176,0.0,0.0,0.0,5.0,0
CPP_positive_177,2.0,1.0,0.0,1.0,1
CPP_positive_178,2.0,4.0,3.0,1.0,1
CPP_positive_179,0.0,3.0,1.0,2.0,1
CPP_positive_180,2.0,2.0,2.0,1.0,1
CPP_negative_181,1.0,2.0,4.0,7.0,0
CPP_negative_182,0.0,0.0,1.0,3.0,0
CPP_positive_183,2.0,1.0,1.0,5.0,1
CPP_positive_184,1.0,3.0,1.0,0.0,1
