name,type2_T1.G.1_T1.G.1_gap2,type2_T1.G.1_T1.G.2_gap2,type2_T1.G.2_T1.G.1_gap2,type2_T1.G.2_T1.G.2_gap2,target
CPP_positive_1,8.0,1.0,2.0,2.0,1
CPP_positive_2,2.0,1.0,1.0,1.0,1
CPP_positive_3,2.0,1.0,1.0,1.0,1
CPP_negative_4,2.0,2.0,0.0,3.0,0
CPP_negative_5,2.0,0.0,2.0,0.0,0
CPP_negative_6,2.0,2.0,2.0,0.0,0
CPP_positive_7,2.0,0.0,2.0,1.0,1
CPP_positive_8,2.0,0.0,3.0,0.0,1
CPP_negative_9,2.0,1.0,3.0,2.0,0
CPP_negative_10,6.0,5.0,5.0,4.0,0
CPP_positive_11,3.0,0.0,1.0,0.0,1
CPP_negative_12,2.0,2.0,6.0,0.0,0
CPP_negative_13,5.0,0.0,0.0,3.0,0
CPP_positive_14,1.0,2.0,0.0,1.0,1
CPP_negative_15,3.0,3.0,0.0,0.0,0
CPP_positive_16,3.0,2.0,1.0,2.0,1
CPP_positive_17,3.0,3.0,3.0,2.0,1
CPP_negative_18,3.0,0.0,0.0,1.0,0
CPP_negative_19,1.0,0.0,3.0,0.0,0
CPP_positive_20,3.0,2.0,5.0,2.0,1
CPP_negative_21,3.0,1.0,0.0,2.0,0
CPP_positive_22,2.0,1.0,2.0,1.0,1
CPP_negative_23,3.0,4.0,3.0,0.0,0
CPP_negative_24,1.0,0.0,3.0,3.0,0
CPP_negative_25,3.0,0.0,0.0,1.0,0
CPP_positive_26,1.0,2.0,0.0,0.0,1
CPP_negative_27,2.0,1.0,0.0,1.0,0
CPP_positive_28,4.0,1.0,2.0,0.0,1
CPP_negative_29,3.0,0.0,3.0,1.0,0
CPP_positive_30,7.0,4.0,2.0,0.0,1
CPP_negative_31,3.0,0.0,2.0,0.0,0
CPP_positive_32,5.0,3.0,3.0,1.0,1
CPP_positive_33,2.0,2.0,1.0,1.0,1
CPP_negative_34,5.0,1.0,1.0,3.0,0
CPP_negative_35,1.0,3.0,0.0,4.0,0
CPP_positive_36,1.0,1.0,1.0,0.0,1
CPP_positive_37,3.0,1.0,0.0,1.0,1
CPP_negative_38,0.0,1.0,1.0,2.0,0
CPP_positive_39,2.0,0.0,2.0,0.0,1
CPP_negative_40,2.0,0.0,1.0,4.0,0
CPP_negative_41,2.0,1.0,0.0,2.0,0
CPP_negative_42,2.0,1.0,0.0,1.0,0
CPP_negative_43,3.0,3.0,3.0,0.0,0
CPP_positive_44,2.0,1.0,0.0,1.0,1
CPP_positive_45,3.0,1.0,5.0,2.0,1
CPP_positive_46,2.0,1.0,2.0,1.0,1
CPP_negative_47,0.0,2.0,1.0,1.0,0
CPP_positive_48,6.0,1.0,2.0,1.0,1
CPP_negative_49,1.0,2.0,1.0,4.0,0
CPP_negative_50,1.0,1.0,1.0,2.0,0
CPP_positive_51,3.0,0.0,0.0,0.0,1
CPP_negative_52,6.0,0.0,2.0,0.0,0
CPP_negative_53,4.0,3.0,0.0,0.0,0
CPP_negative_54,1.0,2.0,2.0,1.0,0
CPP_negative_55,2.0,0.0,1.0,2.0,0
CPP_positive_56,0.0,1.0,2.0,1.0,1
CPP_negative_57,3.0,1.0,2.0,0.0,0
CPP_positive_58,1.0,3.0,0.0,1.0,1
CPP_negative_59,3.0,2.0,2.0,0.0,0
CPP_positive_60,3.0,1.0,1.0,1.0,1
CPP_positive_61,5.0,1.0,5.0,0.0,1
CPP_negative_62,2.0,2.0,2.0,0.0,0
CPP_positive_63,2.0,3.0,1.0,0.0,1
CPP_negative_64,2.0,1.0,1.0,2.0,0
CPP_positive_65,7.0,2.0,2.0,1.0,1
CPP_negative_66,4.0,1.0,1.0,1.0,0
CPP_positive_67,2.0,1.0,1.0,0.0,1
CPP_positive_68,1.0,2.0,1.0,0.0,1
CPP_negative_69,2.0,0.0,2.0,0.0,0
CPP_positive_70,3.0,1.0,0.0,1.0,1
CPP_negative_71,2.0,2.0,3.0,3.0,0
CPP_negative_72,2.0,3.0,1.0,0.0,0
CPP_negative_73,1.0,6.0,3.0,2.0,0
CPP_negative_74,4.0,0.0,0.0,0.0,0
CPP_positive_75,1.0,2.0,2.0,1.0,1
CPP_positive_76,1.0,3.0,2.0,3.0,1
CPP_negative_77,0.0,0.0,0.0,5.0,0
CPP_negative_78,0.0,2.0,2.0,0.0,0
CPP_positive_79,3.0,1.0,1.0,2.0,1
CPP_positive_80,8.0,1.0,2.0,0.0,1
CPP_positive_81,2.0,1.0,4.0,1.0,1
CPP_negative_82,4.0,0.0,0.0,0.0,0
CPP_negative_83,4.0,2.0,3.0,0.0,0
CPP_positive_84,3.0,3.0,2.0,0.0,1
CPP_negative_85,1.0,3.0,0.0,2.0,0
CPP_negative_86,1.0,1.0,0.0,2.0,0
CPP_negative_87,0.0,2.0,2.0,1.0,0
CPP_negative_88,2.0,2.0,0.0,3.0,0
CPP_positive_89,4.0,1.0,0.0,0.0,1
CPP_positive_90,6.0,3.0,7.0,1.0,1
CPP_positive_91,3.0,1.0,2.0,0.0,1
CPP_negative_92,0.0,2.0,1.0,2.0,0
CPP_negative_93,2.0,2.0,2.0,0.0,0
CPP_negative_94,5.0,0.0,3.0,0.0,0
CPP_negative_95,3.0,3.0,1.0,5.0,0
CPP_negative_96,3.0,1.0,3.0,0.0,0
CPP_positive_97,4.0,1.0,1.0,1.0,1
CPP_positive_98,2.0,1.0,2.0,0.0,1
CPP_negative_99,2.0,2.0,0.0,0.0,0
CPP_negative_100,0.0,0.0,4.0,0.0,0
CPP_positive_101,3.0,1.0,2.0,1.0,1
CPP_negative_102,3.0,3.0,2.0,2.0,0
CPP_positive_103,1.0,2.0,1.0,0.0,1
CPP_negative_104,2.0,1.0,1.0,2.0,0
CPP_positive_105,1.0,2.0,2.0,0.0,1
CPP_negative_106,2.0,1.0,0.0,1.0,0
CPP_positive_107,7.0,2.0,2.0,0.0,1
CPP_negative_108,3.0,2.0,0.0,0.0,0
CPP_negative_109,3.0,0.0,1.0,6.0,0
CPP_negative_110,0.0,1.0,3.0,2.0,0
CPP_negative_111,6.0,2.0,0.0,2.0,0
CPP_positive_112,2.0,0.0,1.0,0.0,1
CPP_negative_113,4.0,3.0,1.0,1.0,0
CPP_positive_114,1.0,1.0,1.0,0.0,1
CPP_negative_115,2.0,3.0,2.0,2.0,0
CPP_positive_116,0.0,2.0,1.0,1.0,1
CPP_negative_117,2.0,1.0,2.0,1.0,0
CPP_positive_118,3.0,4.0,4.0,0.0,1
CPP_positive_119,5.0,1.0,5.0,1.0,1
CPP_negative_120,5.0,1.0,2.0,2.0,0
CPP_positive_121,4.0,2.0,0.0,3.0,1
CPP_positive_122,3.0,0.0,2.0,0.0,1
CPP_negative_123,4.0,1.0,4.0,4.0,0
CPP_negative_124,0.0,5.0,6.0,0.0,0
CPP_positive_125,3.0,1.0,1.0,0.0,1
CPP_negative_126,2.0,1.0,1.0,1.0,0
CPP_positive_127,1.0,1.0,2.0,0.0,1
CPP_negative_128,1.0,1.0,1.0,1.0,0
CPP_negative_129,2.0,2.0,1.0,0.0,0
CPP_negative_130,1.0,1.0,1.0,1.0,0
CPP_negative_131,5.0,1.0,1.0,4.0,0
CPP_negative_132,0.0,0.0,0.0,7.0,0
CPP_positive_133,6.0,1.0,1.0,1.0,1
CPP_positive_134,2.0,0.0,2.0,0.0,1
CPP_negative_135,4.0,0.0,0.0,1.0,0
CPP_positive_136,3.0,2.0,2.0,1.0,1
CPP_positive_137,2.0,3.0,4.0,2.0,1
CPP_negative_138,3.0,3.0,0.0,0.0,0
CPP_negative_139,3.0,2.0,1.0,0.0,0
CPP_negative_140,0.0,2.0,0.0,4.0,0
CPP_negative_141,2.0,3.0,3.0,1.0,0
CPP_negative_142,0.0,0.0,3.0,2.0,0
CPP_positive_143,5.0,3.0,1.0,1.0,1
CPP_positive_144,2.0,2.0,1.0,0.0,1
CPP_negative_145,3.0,0.0,1.0,0.0,0
CPP_negative_146,4.0,2.0,1.0,0.0,0
CPP_positive_147,1.0,1.0,2.0,1.0,1
CPP_positive_148,7.0,2.0,1.0,0.0,1
CPP_negative_149,3.0,2.0,2.0,2.0,0
CPP_negative_150,1.0,2.0,1.0,1.0,0
CPP_positive_151,1.0,2.0,1.0,0.0,1
CPP_negative_152,5.0,2.0,2.0,0.0,0
CPP_negative_153,2.0,3.0,0.0,3.0,0
CPP_negative_154,2.0,0.0,0.0,4.0,0
CPP_negative_155,1.0,0.0,1.0,4.0,0
CPP_positive_156,4.0,1.0,1.0,1.0,1
CPP_negative_157,2.0,1.0,1.0,0.0,0
CPP_positive_158,1.0,2.0,1.0,2.0,1
CPP_negative_159,2.0,1.0,0.0,2.0,0
CPP_positive_160,7.0,3.0,3.0,2.0,1
CPP_positive_161,7.0,2.0,2.0,1.0,1
CPP_negative_162,0.0,10.0,2.0,1.0,0
CPP_negative_163,1.0,2.0,1.0,0.0,0
CPP_positive_164,5.0,1.0,3.0,0.0,1
CPP_positive_165,2.0,1.0,1.0,0.0,1
CPP_positive_166,2.0,1.0,1.0,0.0,1
CPP_positive_167,3.0,6.0,2.0,2.0,1
CPP_negative_168,1.0,2.0,0.0,1.0,0
CPP_negative_169,2.0,2.0,2.0,0.0,0
CPP_positive_170,3.0,1.0,0.0,0.0,1
CPP_negative_171,7.0,0.0,1.0,0.0,0
CPP_negative_172,5.0,3.0,2.0,1.0,0
CPP_negative_173,0.0,4.0,4.0,3.0,0
CPP_positive_174,1.0,2.0,1.0,0.0,1
CPP_positive_175,3.0,1.0,0.0,0.0,1
CPP_negative_176,0.0,1.0,1.0,3.0,0
CPP_positive_177,3.0,0.0,1.0,0.0,1
CPP_positive_178,7.0,1.0,1.0,1.0,1
CPP_positive_179,0.0,4.0,2.0,0.0,1
CPP_positive_180,6.0,1.0,0.0,0.0,1
CPP_negative_181,2.0,4.0,5.0,3.0,0
CPP_negative_182,1.0,0.0,1.0,2.0,0
CPP_positive_183,3.0,2.0,3.0,1.0,1
CPP_positive_184,2.0,3.0,0.0,0.0,1
CPP_positive_185,1.0,2.0,0.0,0.0,1
CPP_negative_186,6.0,1.0,0.0,2.0,0
CPP_positive_187,13.0,1.0,4.0,1.0,1
CPP_positive_188,2.0,3.0,0.0,1.0,1
CPP_positive_189,1.0,0.0,1.0,1.0,1
CPP_negative_190,4.0,2.0,0.0,2.0,0
CPP_negative_191,1.0,2.0,1.0,1.0,0
CPP_positive_192,6.0,2.0,2.0,0.0,1
CPP_positive_193,2.0,2.0,0.0,0.0,1
CPP_positive_194,2.0,1.0,2.0,1.0,1
CPP_positive_195,7.0,1.0,3.0,2.0,1
CPP_positive_196,5.0,2.0,1.0,1.0,1
CPP_negative_197,2.0,3.0,0.0,0.0,0
CPP_positive_198,2.0,1.0,1.0,0.0,1
CPP_positive_199,2.0,2.0,0.0,0.0,1
CPP_negative_200,1.0,3.0,2.0,0.0,0
CPP_negative_201,1.0,0.0,4.0,0.0,0
CPP_positive_202,4.0,3.0,1.0,1.0,1
CPP_positive_203,3.0,2.0,1.0,0.0,1
CPP_positive_204,3.0,1.0,1.0,1.0,1
CPP_positive_205,3.0,0.0,2.0,1.0,1
CPP_positive_206,5.0,2.0,2.0,1.0,1
CPP_negative_207,2.0,2.0,2.0,0.0,0
CPP_positive_208,3.0,0.0,4.0,2.0,1
CPP_negative_209,0.0,1.0,2.0,2.0,0
CPP_positive_210,2.0,2.0,1.0,0.0,1
CPP_positive_211,5.0,3.0,2.0,0.0,1
CPP_negative_212,0.0,10.0,0.0,0.0,0
CPP_negative_213,1.0,1.0,0.0,3.0,0
CPP_negative_214,4.0,0.0,1.0,0.0,0
CPP_negative_215,2.0,2.0,1.0,0.0,0
CPP_positive_216,2.0,1.0,1.0,0.0,1
CPP_positive_217,3.0,2.0,2.0,0.0,1
CPP_negative_218,2.0,2.0,0.0,0.0,0
CPP_positive_219,1.0,0.0,5.0,0.0,1
CPP_positive_220,0.0,3.0,1.0,1.0,1
CPP_negative_221,1.0,3.0,1.0,2.0,0
CPP_negative_222,3.0,0.0,1.0,1.0,0
CPP_positive_223,1.0,2.0,2.0,0.0,1
CPP_negative_224,3.0,1.0,2.0,0.0,0
CPP_negative_225,0.0,3.0,2.0,1.0,0
CPP_negative_226,1.0,1.0,1.0,1.0,0
CPP_negative_227,5.0,4.0,0.0,4.0,0
CPP_negative_228,2.0,3.0,2.0,0.0,0
CPP_positive_229,2.0,1.0,2.0,1.0,1
CPP_negative_230,5.0,1.0,1.0,0.0,0
CPP_negative_231,1.0,2.0,1.0,0.0,0
CPP_positive_232,1.0,0.0,2.0,1.0,1
CPP_negative_233,3.0,1.0,2.0,0.0,0
CPP_positive_234,0.0,0.0,3.0,2.0,1
CPP_positive_235,4.0,1.0,0.0,2.0,1
CPP_positive_236,6.0,0.0,2.0,1.0,1
CPP_positive_237,2.0,1.0,0.0,0.0,1
CPP_positive_238,3.0,2.0,1.0,0.0,1
CPP_negative_239,6.0,2.0,1.0,0.0,0
CPP_positive_240,3.0,1.0,4.0,2.0,1
CPP_negative_241,1.0,3.0,2.0,1.0,0
CPP_negative_242,1.0,1.0,1.0,1.0,0
CPP_positive_243,0.0,1.0,3.0,1.0,1
CPP_negative_244,3.0,0.0,1.0,0.0,0
CPP_negative_245,2.0,1.0,3.0,1.0,0
CPP_negative_246,2.0,0.0,2.0,0.0,0
CPP_negative_247,1.0,2.0,1.0,2.0,0
CPP_positive_248,1.0,1.0,2.0,0.0,1
CPP_negative_249,1.0,1.0,1.0,1.0,0
CPP_positive_250,3.0,1.0,0.0,1.0,1
CPP_positive_251,2.0,2.0,2.0,0.0,1
CPP_negative_252,2.0,1.0,2.0,0.0,0
CPP_negative_253,2.0,3.0,1.0,1.0,0
CPP_negative_254,4.0,3.0,0.0,1.0,0
CPP_negative_255,2.0,0.0,0.0,3.0,0
CPP_negative_256,1.0,1.0,0.0,2.0,0
CPP_negative_257,2.0,2.0,0.0,0.0,0
CPP_negative_258,1.0,2.0,2.0,0.0,0
CPP_positive_259,2.0,2.0,2.0,2.0,1
CPP_positive_260,6.0,3.0,1.0,2.0,1
CPP_positive_261,3.0,3.0,1.0,2.0,1
CPP_negative_262,6.0,2.0,0.0,2.0,0
CPP_positive_263,2.0,1.0,1.0,2.0,1
CPP_positive_264,2.0,2.0,1.0,0.0,1
CPP_negative_265,2.0,2.0,2.0,1.0,0
CPP_positive_266,4.0,2.0,0.0,0.0,1
CPP_positive_267,2.0,2.0,3.0,0.0,1
