name,type3A_T1.G.1_T1.G.1_gap2,type3A_T1.G.1_T1.G.2_gap2,type3A_T1.G.2_T1.G.1_gap2,type3A_T1.G.2_T1.G.2_gap2,target
CPP_positive_1,12.0,1.0,0.0,0.0,1
CPP_positive_2,5.0,0.0,0.0,0.0,1
CPP_positive_3,5.0,0.0,0.0,0.0,1
CPP_negative_4,6.0,0.0,1.0,0.0,0
CPP_negative_5,4.0,0.0,0.0,0.0,0
CPP_negative_6,6.0,0.0,0.0,0.0,0
CPP_positive_7,4.0,1.0,0.0,0.0,1
CPP_positive_8,3.0,2.0,0.0,0.0,1
CPP_negative_9,8.0,0.0,0.0,0.0,0
CPP_negative_10,20.0,0.0,0.0,0.0,0
CPP_positive_11,2.0,1.0,1.0,0.0,1
CPP_negative_12,10.0,0.0,0.0,0.0,0
CPP_negative_13,7.0,0.0,1.0,0.0,0
CPP_positive_14,4.0,0.0,0.0,0.0,1
CPP_negative_15,6.0,0.0,0.0,0.0,0
CPP_positive_16,8.0,0.0,0.0,0.0,1
CPP_positive_17,11.0,0.0,0.0,0.0,1
CPP_negative_18,3.0,1.0,0.0,0.0,0
CPP_negative_19,4.0,0.0,0.0,0.0,0
CPP_positive_20,10.0,0.0,2.0,0.0,1
CPP_negative_21,6.0,0.0,0.0,0.0,0
CPP_positive_22,5.0,1.0,0.0,0.0,1
CPP_negative_23,9.0,0.0,1.0,0.0,0
CPP_negative_24,7.0,0.0,0.0,0.0,0
CPP_negative_25,4.0,0.0,0.0,0.0,0
CPP_positive_26,3.0,0.0,0.0,0.0,1
CPP_negative_27,4.0,0.0,0.0,0.0,0
CPP_positive_28,7.0,0.0,0.0,0.0,1
CPP_negative_29,6.0,1.0,0.0,0.0,0
CPP_positive_30,11.0,1.0,1.0,0.0,1
CPP_negative_31,5.0,0.0,0.0,0.0,0
CPP_positive_32,10.0,1.0,1.0,0.0,1
CPP_positive_33,5.0,1.0,0.0,0.0,1
CPP_negative_34,9.0,0.0,1.0,0.0,0
CPP_negative_35,8.0,0.0,0.0,0.0,0
CPP_positive_36,3.0,0.0,0.0,0.0,1
CPP_positive_37,5.0,0.0,0.0,0.0,1
CPP_negative_38,4.0,0.0,0.0,0.0,0
CPP_positive_39,4.0,0.0,0.0,0.0,1
CPP_negative_40,6.0,1.0,0.0,0.0,0
CPP_negative_41,5.0,0.0,0.0,0.0,0
CPP_negative_42,3.0,0.0,1.0,0.0,0
CPP_negative_43,8.0,1.0,0.0,0.0,0
CPP_positive_44,4.0,0.0,0.0,0.0,1
CPP_positive_45,11.0,0.0,0.0,0.0,1
CPP_positive_46,5.0,0.0,1.0,0.0,1
CPP_negative_47,4.0,0.0,0.0,0.0,0
CPP_positive_48,9.0,1.0,0.0,0.0,1
CPP_negative_49,8.0,0.0,0.0,0.0,0
CPP_negative_50,5.0,0.0,0.0,0.0,0
CPP_positive_51,3.0,0.0,0.0,0.0,1
CPP_negative_52,8.0,0.0,0.0,0.0,0
CPP_negative_53,6.0,0.0,1.0,0.0,0
CPP_negative_54,6.0,0.0,0.0,0.0,0
CPP_negative_55,4.0,1.0,0.0,0.0,0
CPP_positive_56,4.0,0.0,0.0,0.0,1
CPP_negative_57,5.0,0.0,1.0,0.0,0
CPP_positive_58,4.0,0.0,1.0,0.0,1
CPP_negative_59,6.0,1.0,0.0,0.0,0
CPP_positive_60,5.0,1.0,0.0,0.0,1
CPP_positive_61,10.0,0.0,1.0,0.0,1
CPP_negative_62,5.0,0.0,1.0,0.0,0
CPP_positive_63,4.0,1.0,1.0,0.0,1
CPP_negative_64,6.0,0.0,0.0,0.0,0
CPP_positive_65,10.0,1.0,1.0,0.0,1
CPP_negative_66,6.0,1.0,0.0,0.0,0
CPP_positive_67,4.0,0.0,0.0,0.0,1
CPP_positive_68,4.0,0.0,0.0,0.0,1
CPP_negative_69,4.0,0.0,0.0,0.0,0
CPP_positive_70,3.0,1.0,1.0,0.0,1
CPP_negative_71,10.0,0.0,0.0,0.0,0
CPP_negative_72,5.0,1.0,0.0,0.0,0
CPP_negative_73,11.0,0.0,1.0,0.0,0
CPP_negative_74,3.0,1.0,0.0,0.0,0
CPP_positive_75,5.0,1.0,0.0,0.0,1
CPP_positive_76,8.0,1.0,0.0,0.0,1
CPP_negative_77,5.0,0.0,0.0,0.0,0
CPP_negative_78,3.0,1.0,0.0,0.0,0
CPP_positive_79,7.0,0.0,0.0,0.0,1
CPP_positive_80,9.0,1.0,1.0,0.0,1
CPP_positive_81,8.0,0.0,0.0,0.0,1
CPP_negative_82,4.0,0.0,0.0,0.0,0
CPP_negative_83,9.0,0.0,0.0,0.0,0
CPP_positive_84,7.0,1.0,0.0,0.0,1
CPP_negative_85,6.0,0.0,0.0,0.0,0
CPP_negative_86,4.0,0.0,0.0,0.0,0
CPP_negative_87,5.0,0.0,0.0,0.0,0
CPP_negative_88,5.0,1.0,0.0,1.0,0
CPP_positive_89,4.0,1.0,0.0,0.0,1
CPP_positive_90,15.0,1.0,1.0,0.0,1
CPP_positive_91,5.0,1.0,0.0,0.0,1
CPP_negative_92,4.0,0.0,1.0,0.0,0
CPP_negative_93,6.0,0.0,0.0,0.0,0
CPP_negative_94,8.0,0.0,0.0,0.0,0
CPP_negative_95,12.0,0.0,0.0,0.0,0
CPP_negative_96,7.0,0.0,0.0,0.0,0
CPP_positive_97,6.0,0.0,1.0,0.0,1
CPP_positive_98,5.0,0.0,0.0,0.0,1
CPP_negative_99,3.0,0.0,1.0,0.0,0
CPP_negative_100,4.0,0.0,0.0,0.0,0
CPP_positive_101,6.0,1.0,0.0,0.0,1
CPP_negative_102,9.0,0.0,1.0,0.0,0
CPP_positive_103,3.0,1.0,0.0,0.0,1
CPP_negative_104,6.0,0.0,0.0,0.0,0
CPP_positive_105,5.0,0.0,0.0,0.0,1
CPP_negative_106,4.0,0.0,0.0,0.0,0
CPP_positive_107,9.0,0.0,1.0,1.0,1
CPP_negative_108,4.0,1.0,0.0,0.0,0
CPP_negative_109,10.0,0.0,0.0,0.0,0
CPP_negative_110,6.0,0.0,0.0,0.0,0
CPP_negative_111,9.0,1.0,0.0,0.0,0
CPP_positive_112,2.0,1.0,0.0,0.0,1
CPP_negative_113,9.0,0.0,0.0,0.0,0
CPP_positive_114,3.0,0.0,0.0,0.0,1
CPP_negative_115,9.0,0.0,0.0,0.0,0
CPP_positive_116,3.0,0.0,1.0,0.0,1
CPP_negative_117,6.0,0.0,0.0,0.0,0
CPP_positive_118,10.0,0.0,1.0,0.0,1
CPP_positive_119,12.0,0.0,0.0,0.0,1
CPP_negative_120,10.0,0.0,0.0,0.0,0
CPP_positive_121,8.0,1.0,0.0,0.0,1
CPP_positive_122,5.0,0.0,0.0,0.0,1
CPP_negative_123,13.0,0.0,0.0,0.0,0
CPP_negative_124,11.0,0.0,0.0,0.0,0
CPP_positive_125,4.0,0.0,1.0,0.0,1
CPP_negative_126,5.0,0.0,0.0,0.0,0
CPP_positive_127,4.0,0.0,0.0,0.0,1
CPP_negative_128,4.0,0.0,0.0,0.0,0
CPP_negative_129,5.0,0.0,0.0,0.0,0
CPP_negative_130,4.0,0.0,0.0,0.0,0
CPP_negative_131,11.0,0.0,0.0,0.0,0
CPP_negative_132,7.0,0.0,0.0,0.0,0
CPP_positive_133,9.0,0.0,0.0,0.0,1
CPP_positive_134,4.0,0.0,0.0,0.0,1
CPP_negative_135,5.0,0.0,0.0,0.0,0
CPP_positive_136,8.0,0.0,0.0,0.0,1
CPP_positive_137,10.0,1.0,0.0,0.0,1
CPP_negative_138,6.0,0.0,0.0,0.0,0
CPP_negative_139,6.0,0.0,0.0,0.0,0
CPP_negative_140,6.0,0.0,0.0,0.0,0
CPP_negative_141,9.0,0.0,0.0,0.0,0
CPP_negative_142,4.0,1.0,0.0,0.0,0
CPP_positive_143,8.0,0.0,1.0,1.0,1
CPP_positive_144,5.0,0.0,0.0,0.0,1
CPP_negative_145,2.0,2.0,0.0,0.0,0
CPP_negative_146,7.0,0.0,0.0,0.0,0
CPP_positive_147,3.0,1.0,1.0,0.0,1
CPP_positive_148,10.0,0.0,0.0,0.0,1
CPP_negative_149,8.0,0.0,1.0,0.0,0
CPP_negative_150,2.0,1.0,2.0,0.0,0
CPP_positive_151,4.0,0.0,0.0,0.0,1
CPP_negative_152,8.0,1.0,0.0,0.0,0
CPP_negative_153,8.0,0.0,0.0,0.0,0
CPP_negative_154,6.0,0.0,0.0,0.0,0
CPP_negative_155,6.0,0.0,0.0,0.0,0
CPP_positive_156,7.0,0.0,0.0,0.0,1
CPP_negative_157,4.0,0.0,0.0,0.0,0
CPP_positive_158,6.0,0.0,0.0,0.0,1
CPP_negative_159,5.0,0.0,0.0,0.0,0
