name,type3B_T1.G.1_T1.G.1_gap2,type3B_T1.G.1_T1.G.2_gap2,type3B_T1.G.2_T1.G.1_gap2,type3B_T1.G.2_T1.G.2_gap2,target
CPP_positive_1,8.0,2.0,3.0,0.0,1
CPP_positive_2,3.0,1.0,1.0,0.0,1
CPP_positive_3,3.0,1.0,1.0,0.0,1
CPP_negative_4,5.0,0.0,2.0,0.0,0
CPP_negative_5,4.0,0.0,0.0,0.0,0
CPP_negative_6,6.0,0.0,0.0,0.0,0
CPP_positive_7,4.0,1.0,0.0,0.0,1
CPP_positive_8,3.0,2.0,0.0,0.0,1
CPP_negative_9,3.0,3.0,2.0,0.0,0
CPP_negative_10,10.0,5.0,5.0,0.0,0
CPP_positive_11,1.0,2.0,0.0,1.0,1
CPP_negative_12,8.0,2.0,0.0,0.0,0
CPP_negative_13,4.0,1.0,3.0,0.0,0
CPP_positive_14,4.0,0.0,0.0,0.0,1
CPP_negative_15,6.0,0.0,0.0,0.0,0
CPP_positive_16,7.0,0.0,1.0,0.0,1
CPP_positive_17,8.0,0.0,3.0,0.0,1
CPP_negative_18,2.0,2.0,0.0,0.0,0
CPP_negative_19,2.0,2.0,0.0,0.0,0
CPP_positive_20,9.0,0.0,2.0,1.0,1
CPP_negative_21,4.0,0.0,0.0,2.0,0
CPP_positive_22,1.0,3.0,2.0,0.0,1
CPP_negative_23,4.0,2.0,4.0,0.0,0
CPP_negative_24,6.0,1.0,0.0,0.0,0
CPP_negative_25,2.0,1.0,1.0,0.0,0
CPP_positive_26,3.0,0.0,0.0,0.0,1
CPP_negative_27,1.0,0.0,3.0,0.0,0
CPP_positive_28,6.0,0.0,1.0,0.0,1
CPP_negative_29,5.0,2.0,0.0,0.0,0
CPP_positive_30,8.0,2.0,3.0,0.0,1
CPP_negative_31,2.0,1.0,2.0,0.0,0
CPP_positive_32,5.0,3.0,3.0,1.0,1
CPP_positive_33,5.0,0.0,0.0,1.0,1
CPP_negative_34,8.0,0.0,2.0,0.0,0
CPP_negative_35,7.0,0.0,1.0,0.0,0
CPP_positive_36,1.0,1.0,0.0,1.0,1
CPP_positive_37,5.0,0.0,0.0,0.0,1
CPP_negative_38,4.0,0.0,0.0,0.0,0
CPP_positive_39,2.0,2.0,0.0,0.0,1
CPP_negative_40,5.0,1.0,0.0,1.0,0
CPP_negative_41,4.0,0.0,1.0,0.0,0
CPP_negative_42,2.0,0.0,2.0,0.0,0
CPP_negative_43,0.0,3.0,4.0,2.0,0
CPP_positive_44,4.0,0.0,0.0,0.0,1
CPP_positive_45,7.0,1.0,2.0,1.0,1
CPP_positive_46,4.0,1.0,0.0,1.0,1
CPP_negative_47,4.0,0.0,0.0,0.0,0
CPP_positive_48,6.0,3.0,1.0,0.0,1
CPP_negative_49,8.0,0.0,0.0,0.0,0
CPP_negative_50,4.0,1.0,0.0,0.0,0
CPP_positive_51,1.0,0.0,1.0,1.0,1
CPP_negative_52,4.0,2.0,2.0,0.0,0
CPP_negative_53,6.0,0.0,1.0,0.0,0
CPP_negative_54,1.0,2.0,2.0,1.0,0
CPP_negative_55,3.0,1.0,1.0,0.0,0
CPP_positive_56,4.0,0.0,0.0,0.0,1
CPP_negative_57,1.0,2.0,3.0,0.0,0
CPP_positive_58,3.0,0.0,2.0,0.0,1
CPP_negative_59,2.0,1.0,2.0,2.0,0
CPP_positive_60,4.0,2.0,0.0,0.0,1
