name,type5_T1.G.1_T1.G.1_gap2,type5_T1.G.1_T1.G.2_gap2,type5_T1.G.1_T1.G.3_gap2,type5_T1.G.2_T1.G.1_gap2,type5_T1.G.2_T1.G.2_gap2,type5_T1.G.2_T1.G.3_gap2,type5_T1.G.3_T1.G.1_gap2,type5_T1.G.3_T1.G.2_gap2,type5_T1.G.3_T1.G.3_gap2,target
CPP_positive_1,11.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
CPP_positive_2,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
CPP_positive_3,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1
CPP_negative_4,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0
CPP_negative_5,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
CPP_negative_6,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0
CPP_positive_7,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1
CPP_positive_8,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1
CPP_negative_9,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0
CPP_negative_10,8.0,1.0,2.0,1.0,0.0,0.0,5.0,1.0,2.0,0
CPP_positive_11,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
CPP_negative_12,4.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0
CPP_negative_13,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0
CPP_positive_14,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
CPP_negative_15,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CPP_positive_16,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
CPP_positive_17,6.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1
CPP_negative_18,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CPP_negative_19,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0
CPP_positive_20,6.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1
CPP_negative_21,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0
CPP_positive_22,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1
CPP_negative_23,4.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0
CPP_negative_24,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0
CPP_negative_25,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CPP_positive_26,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
CPP_negative_27,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CPP_positive_28,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
CPP_negative_29,3.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0
CPP_positive_30,9.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
CPP_negative_31,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
CPP_positive_32,8.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1
CPP_positive_33,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
CPP_negative_34,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0
CPP_negative_35,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0
CPP_positive_36,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
CPP_positive_37,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
CPP_negative_38,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0
CPP_positive_39,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
CPP_negative_40,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0
CPP_negative_41,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0
CPP_negative_42,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CPP_negative_43,7.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
CPP_positive_44,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
CPP_positive_45,8.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1
CPP_positive_46,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1
CPP_negative_47,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0
CPP_positive_48,6.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1
CPP_negative_49,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0
CPP_negative_50,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0
CPP_positive_51,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
CPP_negative_52,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CPP_negative_53,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CPP_negative_54,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0
CPP_negative_55,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0
CPP_positive_56,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
CPP_negative_57,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0
CPP_positive_58,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
CPP_negative_59,3.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0
CPP_positive_60,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1
CPP_positive_61,8.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1
CPP_negative_62,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0
CPP_positive_63,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1
