name,type6A_T1.G.1_T1.G.1_gap2,type6A_T1.G.1_T1.G.2_gap2,type6A_T1.G.1_T1.G.3_gap2,type6A_T1.G.1_T1.G.4_gap2,type6A_T1.G.2_T1.G.1_gap2,type6A_T1.G.2_T1.G.2_gap2,type6A_T1.G.2_T1.G.3_gap2,type6A_T1.G.2_T1.G.4_gap2,type6A_T1.G.3_T1.G.1_gap2,type6A_T1.G.3_T1.G.2_gap2,type6A_T1.G.3_T1.G.3_gap2,type6A_T1.G.3_T1.G.4_gap2,type6A_T1.G.4_T1.G.1_gap2,type6A_T1.G.4_T1.G.2_gap2,type6A_T1.G.4_T1.G.3_gap2,type6A_T1.G.4_T1.G.4_gap2,target
CPP_positive_1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,1
CPP_positive_2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1
CPP_positive_3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1
CPP_negative_4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0
CPP_negative_5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CPP_negative_6,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CPP_positive_7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1
CPP_positive_8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1
CPP_negative_9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,0
CPP_negative_10,0.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,4.0,2.0,0.0,1.0,2.0,0.0,0
