name,type3A_T1.G.1_T1.G.1_gap2,type3A_T1.G.1_T1.G.2_gap2,type3A_T1.G.2_T1.G.1_gap2,type3A_T1.G.2_T1.G.2_gap2,target
CPP_positive_1,4.0,0.0,0.0,0.0,1
CPP_positive_2,5.0,0.0,1.0,0.0,1
CPP_positive_3,6.0,2.0,0.0,0.0,1
CPP_positive_4,9.0,0.0,0.0,0.0,1
CPP_positive_5,6.0,0.0,0.0,0.0,1
CPP_positive_6,4.0,0.0,0.0,0.0,1
CPP_positive_7,4.0,0.0,0.0,0.0,1
CPP_positive_8,4.0,0.0,0.0,0.0,1
CPP_positive_9,4.0,0.0,0.0,0.0,1
CPP_positive_10,3.0,1.0,0.0,0.0,1
CPP_positive_11,5.0,0.0,0.0,0.0,1
CPP_positive_12,9.0,0.0,0.0,0.0,1
CPP_positive_13,2.0,0.0,1.0,0.0,1
CPP_positive_14,10.0,0.0,0.0,0.0,1
CPP_positive_15,3.0,0.0,0.0,0.0,1
CPP_positive_16,10.0,0.0,0.0,0.0,1
CPP_positive_17,4.0,0.0,0.0,0.0,1
CPP_positive_18,4.0,0.0,0.0,0.0,1
CPP_positive_19,5.0,0.0,0.0,0.0,1
CPP_positive_20,4.0,2.0,1.0,0.0,1
CPP_positive_21,6.0,0.0,0.0,0.0,1
CPP_positive_22,5.0,0.0,0.0,0.0,1
CPP_positive_23,6.0,0.0,0.0,0.0,1
CPP_positive_24,5.0,0.0,0.0,0.0,1
CPP_positive_25,6.0,0.0,0.0,0.0,1
CPP_positive_26,9.0,0.0,0.0,0.0,1
CPP_positive_27,8.0,1.0,0.0,0.0,1
CPP_positive_28,6.0,0.0,0.0,0.0,1
CPP_positive_29,5.0,0.0,0.0,0.0,1
CPP_positive_30,6.0,0.0,0.0,0.0,1
CPP_positive_31,5.0,0.0,0.0,0.0,1
CPP_positive_32,6.0,0.0,0.0,0.0,1
CPP_positive_33,5.0,0.0,0.0,0.0,1
CPP_positive_34,4.0,0.0,1.0,0.0,1
CPP_positive_35,6.0,0.0,0.0,0.0,1
CPP_positive_36,3.0,1.0,0.0,0.0,1
CPP_positive_37,7.0,0.0,0.0,0.0,1
CPP_positive_38,6.0,0.0,1.0,0.0,1
CPP_positive_39,4.0,0.0,0.0,0.0,1
CPP_positive_40,4.0,0.0,0.0,0.0,1
CPP_positive_41,8.0,0.0,0.0,0.0,1
CPP_positive_42,5.0,1.0,0.0,0.0,1
CPP_positive_43,5.0,0.0,0.0,0.0,1
CPP_positive_44,4.0,0.0,0.0,0.0,1
CPP_positive_45,5.0,1.0,0.0,0.0,1
CPP_positive_46,3.0,0.0,0.0,0.0,1
CPP_positive_47,3.0,0.0,0.0,0.0,1
CPP_positive_48,7.0,0.0,0.0,0.0,1
CPP_positive_49,6.0,0.0,0.0,0.0,1
CPP_positive_50,2.0,0.0,1.0,0.0,1
CPP_positive_51,4.0,0.0,1.0,0.0,1
CPP_positive_52,4.0,0.0,0.0,0.0,1
CPP_positive_53,4.0,0.0,0.0,0.0,1
CPP_positive_54,5.0,0.0,0.0,0.0,1
CPP_positive_55,6.0,1.0,0.0,0.0,1
CPP_positive_56,6.0,0.0,0.0,0.0,1
CPP_positive_57,7.0,1.0,0.0,0.0,1
CPP_positive_58,4.0,0.0,0.0,0.0,1
CPP_positive_59,6.0,1.0,1.0,0.0,1
CPP_positive_60,4.0,0.0,0.0,0.0,1
CPP_positive_61,9.0,0.0,0.0,0.0,1
CPP_positive_62,6.0,0.0,0.0,0.0,1
CPP_positive_63,8.0,0.0,0.0,0.0,1
CPP_positive_64,5.0,0.0,1.0,0.0,1
CPP_positive_65,8.0,0.0,0.0,0.0,1
CPP_positive_66,4.0,0.0,0.0,0.0,1
CPP_positive_67,6.0,0.0,0.0,0.0,1
CPP_positive_68,4.0,0.0,0.0,0.0,1
CPP_positive_69,8.0,0.0,0.0,0.0,1
CPP_positive_70,4.0,1.0,0.0,0.0,1
CPP_positive_71,6.0,0.0,0.0,0.0,1
CPP_positive_72,8.0,0.0,0.0,0.0,1
CPP_positive_73,4.0,0.0,0.0,0.0,1
CPP_positive_74,5.0,0.0,0.0,0.0,1
CPP_positive_75,7.0,0.0,0.0,0.0,1
CPP_positive_76,3.0,0.0,0.0,0.0,1
CPP_positive_77,3.0,1.0,0.0,0.0,1
CPP_positive_78,4.0,0.0,0.0,0.0,1
CPP_positive_79,3.0,0.0,0.0,0.0,1
CPP_positive_80,3.0,0.0,1.0,0.0,1
CPP_positive_81,10.0,0.0,0.0,0.0,1
CPP_positive_82,5.0,0.0,0.0,0.0,1
CPP_positive_83,6.0,0.0,0.0,0.0,1
CPP_positive_84,9.0,0.0,0.0,0.0,1
CPP_positive_85,4.0,0.0,0.0,0.0,1
CPP_positive_86,6.0,0.0,0.0,0.0,1
CPP_positive_87,6.0,1.0,0.0,0.0,1
CPP_positive_88,8.0,0.0,0.0,0.0,1
CPP_positive_89,6.0,0.0,0.0,0.0,1
CPP_positive_90,5.0,0.0,0.0,0.0,1
CPP_positive_91,8.0,0.0,0.0,0.0,1
CPP_positive_92,4.0,0.0,0.0,0.0,1
CPP_positive_93,7.0,1.0,1.0,0.0,1
CPP_positive_94,8.0,0.0,0.0,0.0,1
CPP_positive_95,5.0,0.0,0.0,0.0,1
CPP_positive_96,4.0,0.0,0.0,0.0,1
CPP_positive_97,4.0,0.0,0.0,0.0,1
CPP_positive_98,5.0,0.0,0.0,0.0,1
CPP_positive_99,3.0,0.0,0.0,0.0,1
CPP_positive_100,2.0,0.0,0.0,0.0,1
CPP_positive_101,3.0,0.0,0.0,0.0,1
CPP_positive_102,2.0,1.0,1.0,0.0,1
CPP_positive_103,4.0,0.0,0.0,0.0,1
CPP_positive_104,9.0,0.0,1.0,0.0,1
CPP_positive_105,6.0,0.0,0.0,0.0,1
CPP_positive_106,3.0,0.0,0.0,0.0,1
CPP_positive_107,7.0,1.0,0.0,0.0,1
CPP_positive_108,4.0,0.0,0.0,0.0,1
CPP_positive_109,3.0,0.0,1.0,0.0,1
CPP_positive_110,4.0,0.0,0.0,0.0,1
CPP_positive_111,6.0,0.0,0.0,0.0,1
CPP_positive_112,4.0,1.0,0.0,0.0,1
CPP_positive_113,3.0,0.0,1.0,0.0,1
CPP_positive_114,6.0,0.0,1.0,0.0,1
CPP_positive_115,4.0,0.0,0.0,0.0,1
CPP_positive_116,4.0,0.0,0.0,0.0,1
CPP_positive_117,5.0,1.0,0.0,0.0,1
CPP_positive_118,5.0,0.0,0.0,0.0,1
CPP_positive_119,4.0,0.0,0.0,0.0,1
CPP_positive_120,8.0,0.0,1.0,0.0,1
CPP_positive_121,4.0,0.0,0.0,0.0,1
CPP_positive_122,7.0,1.0,1.0,0.0,1
CPP_positive_123,9.0,0.0,0.0,0.0,1
CPP_positive_124,5.0,0.0,0.0,0.0,1
CPP_positive_125,4.0,0.0,0.0,0.0,1
CPP_positive_126,5.0,0.0,1.0,0.0,1
CPP_positive_127,9.0,0.0,0.0,0.0,1
CPP_positive_128,5.0,1.0,0.0,0.0,1
CPP_positive_129,5.0,0.0,1.0,0.0,1
CPP_positive_130,6.0,0.0,0.0,0.0,1
CPP_positive_131,6.0,0.0,0.0,0.0,1
CPP_positive_132,6.0,0.0,0.0,0.0,1
CPP_positive_133,6.0,0.0,0.0,0.0,1
CPP_positive_134,7.0,0.0,2.0,0.0,1
CPP_positive_135,4.0,0.0,0.0,0.0,1
CPP_positive_136,6.0,0.0,1.0,0.0,1
CPP_positive_137,6.0,0.0,0.0,0.0,1
CPP_positive_138,5.0,0.0,0.0,0.0,1
CPP_positive_139,7.0,0.0,0.0,0.0,1
CPP_positive_140,8.0,0.0,1.0,0.0,1
CPP_positive_141,2.0,1.0,1.0,1.0,1
CPP_positive_142,5.0,0.0,0.0,0.0,1
CPP_positive_143,5.0,0.0,0.0,0.0,1
CPP_positive_144,5.0,0.0,0.0,0.0,1
CPP_positive_145,6.0,0.0,0.0,0.0,1
CPP_positive_146,9.0,0.0,1.0,0.0,1
CPP_positive_147,7.0,0.0,1.0,0.0,1
CPP_positive_148,7.0,0.0,1.0,0.0,1
CPP_positive_149,8.0,0.0,0.0,0.0,1
CPP_positive_150,9.0,0.0,0.0,0.0,1
CPP_positive_151,8.0,0.0,0.0,0.0,1
CPP_positive_152,8.0,0.0,0.0,0.0,1
CPP_positive_153,8.0,0.0,0.0,0.0,1
CPP_positive_154,10.0,0.0,0.0,0.0,1
CPP_positive_155,4.0,0.0,0.0,0.0,1
CPP_positive_156,9.0,0.0,0.0,0.0,1
CPP_positive_157,10.0,0.0,0.0,0.0,1
CPP_positive_158,10.0,0.0,0.0,0.0,1
CPP_positive_159,8.0,0.0,0.0,0.0,1
CPP_positive_160,9.0,0.0,0.0,0.0,1
CPP_positive_161,7.0,0.0,0.0,0.0,1
CPP_positive_162,7.0,0.0,0.0,0.0,1
CPP_positive_163,7.0,1.0,0.0,0.0,1
CPP_positive_164,4.0,1.0,1.0,0.0,1
CPP_positive_165,8.0,0.0,0.0,0.0,1
CPP_positive_166,5.0,1.0,0.0,0.0,1
CPP_positive_167,6.0,1.0,0.0,0.0,1
CPP_positive_168,8.0,0.0,0.0,0.0,1
CPP_positive_169,6.0,0.0,0.0,0.0,1
CPP_positive_170,6.0,0.0,0.0,0.0,1
CPP_positive_171,5.0,0.0,0.0,0.0,1
CPP_positive_172,6.0,1.0,0.0,0.0,1
CPP_positive_173,4.0,0.0,0.0,0.0,1
CPP_positive_174,7.0,0.0,0.0,0.0,1
CPP_positive_175,6.0,1.0,0.0,0.0,1
CPP_positive_176,10.0,0.0,0.0,0.0,1
CPP_positive_177,7.0,0.0,0.0,0.0,1
CPP_positive_178,4.0,0.0,0.0,0.0,1
CPP_positive_179,9.0,0.0,0.0,0.0,1
CPP_positive_180,8.0,0.0,1.0,0.0,1
CPP_positive_181,7.0,0.0,0.0,0.0,1
CPP_positive_182,7.0,0.0,0.0,0.0,1
CPP_positive_183,7.0,0.0,0.0,0.0,1
CPP_positive_184,5.0,1.0,0.0,0.0,1
CPP_positive_185,4.0,1.0,0.0,0.0,1
CPP_positive_186,5.0,1.0,0.0,0.0,1
CPP_positive_187,5.0,0.0,0.0,0.0,1
CPP_positive_188,2.0,1.0,2.0,0.0,1
CPP_positive_189,10.0,0.0,0.0,0.0,1
CPP_positive_190,10.0,0.0,0.0,0.0,1
CPP_positive_191,9.0,0.0,0.0,0.0,1
CPP_positive_192,4.0,0.0,1.0,0.0,1
CPP_positive_193,4.0,1.0,0.0,0.0,1
CPP_positive_194,6.0,0.0,0.0,0.0,1
CPP_positive_195,7.0,0.0,0.0,0.0,1
CPP_positive_196,6.0,0.0,0.0,0.0,1
CPP_positive_197,6.0,0.0,0.0,0.0,1
CPP_positive_198,6.0,0.0,0.0,0.0,1
CPP_positive_199,9.0,1.0,0.0,0.0,1
CPP_positive_200,4.0,0.0,2.0,1.0,1
CPP_positive_201,7.0,0.0,0.0,0.0,1
CPP_positive_202,7.0,0.0,0.0,0.0,1
CPP_positive_203,5.0,0.0,0.0,0.0,1
CPP_positive_204,4.0,0.0,0.0,0.0,1
CPP_positive_205,4.0,0.0,0.0,0.0,1
CPP_positive_206,7.0,0.0,0.0,0.0,1
CPP_positive_207,6.0,0.0,0.0,0.0,1
CPP_positive_208,7.0,0.0,0.0,0.0,1
CPP_positive_209,4.0,1.0,1.0,2.0,1
CPP_positive_210,2.0,0.0,1.0,1.0,1
CPP_positive_211,2.0,1.0,0.0,1.0,1
CPP_positive_212,0.0,4.0,0.0,0.0,1
CPP_positive_213,3.0,1.0,1.0,0.0,1
CPP_positive_214,4.0,0.0,1.0,0.0,1
CPP_positive_215,5.0,0.0,0.0,0.0,1
CPP_positive_216,5.0,0.0,0.0,0.0,1
CPP_positive_217,4.0,1.0,0.0,0.0,1
CPP_positive_218,6.0,0.0,0.0,0.0,1
CPP_positive_219,6.0,0.0,0.0,0.0,1
CPP_positive_220,6.0,0.0,0.0,0.0,1
CPP_positive_221,5.0,0.0,0.0,0.0,1
CPP_positive_222,5.0,0.0,0.0,0.0,1
CPP_positive_223,5.0,0.0,0.0,0.0,1
CPP_positive_224,5.0,0.0,0.0,0.0,1
CPP_positive_225,5.0,0.0,3.0,0.0,1
CPP_positive_226,8.0,0.0,0.0,0.0,1
CPP_positive_227,6.0,0.0,0.0,0.0,1
CPP_positive_228,3.0,1.0,0.0,0.0,1
CPP_positive_229,8.0,0.0,1.0,0.0,1
CPP_positive_230,10.0,0.0,0.0,0.0,1
CPP_positive_231,8.0,1.0,0.0,0.0,1
CPP_positive_232,4.0,0.0,0.0,0.0,1
CPP_positive_233,5.0,0.0,0.0,0.0,1
CPP_positive_234,5.0,0.0,0.0,0.0,1
CPP_positive_235,5.0,0.0,0.0,0.0,1
CPP_positive_236,5.0,0.0,0.0,0.0,1
CPP_positive_237,5.0,0.0,0.0,0.0,1
CPP_positive_238,7.0,0.0,0.0,0.0,1
CPP_positive_239,7.0,0.0,0.0,0.0,1
CPP_positive_240,10.0,0.0,0.0,0.0,1
CPP_positive_241,10.0,0.0,0.0,0.0,1
CPP_positive_242,7.0,0.0,0.0,0.0,1
CPP_positive_243,6.0,0.0,0.0,0.0,1
CPP_positive_244,9.0,0.0,0.0,0.0,1
CPP_positive_245,6.0,0.0,0.0,0.0,1
CPP_positive_246,8.0,0.0,1.0,0.0,1
CPP_positive_247,9.0,0.0,0.0,0.0,1
CPP_positive_248,9.0,0.0,0.0,0.0,1
CPP_positive_249,6.0,0.0,0.0,0.0,1
CPP_positive_250,8.0,1.0,0.0,0.0,1
CPP_positive_251,5.0,1.0,0.0,0.0,1
CPP_positive_252,5.0,0.0,1.0,0.0,1
CPP_positive_253,5.0,0.0,1.0,0.0,1
CPP_positive_254,5.0,0.0,1.0,0.0,1
CPP_positive_255,6.0,0.0,0.0,0.0,1
CPP_positive_256,6.0,0.0,0.0,0.0,1
CPP_positive_257,6.0,0.0,0.0,0.0,1
CPP_positive_258,4.0,1.0,0.0,0.0,1
CPP_positive_259,4.0,0.0,0.0,0.0,1
CPP_positive_260,6.0,0.0,0.0,0.0,1
CPP_positive_261,6.0,0.0,0.0,0.0,1
CPP_positive_262,6.0,0.0,0.0,0.0,1
CPP_positive_263,6.0,0.0,0.0,0.0,1
CPP_positive_264,5.0,0.0,0.0,0.0,1
CPP_positive_265,7.0,0.0,0.0,0.0,1
CPP_positive_266,9.0,0.0,0.0,0.0,1
CPP_positive_267,10.0,0.0,0.0,0.0,1
CPP_positive_268,9.0,0.0,0.0,0.0,1
CPP_positive_269,9.0,0.0,0.0,0.0,1
CPP_positive_270,4.0,0.0,1.0,0.0,1
CPP_positive_271,4.0,1.0,0.0,0.0,1
CPP_positive_272,5.0,0.0,0.0,0.0,1
CPP_positive_273,6.0,0.0,0.0,0.0,1
CPP_positive_274,5.0,0.0,0.0,0.0,1
CPP_positive_275,10.0,0.0,0.0,0.0,1
CPP_positive_276,5.0,0.0,0.0,0.0,1
CPP_positive_277,6.0,0.0,0.0,0.0,1
CPP_positive_278,5.0,0.0,0.0,0.0,1
CPP_positive_279,0.0,2.0,3.0,0.0,1
CPP_positive_280,7.0,0.0,0.0,0.0,1
CPP_positive_281,4.0,0.0,0.0,0.0,1
CPP_positive_282,4.0,0.0,0.0,0.0,1
CPP_positive_283,8.0,0.0,0.0,0.0,1
CPP_positive_284,5.0,0.0,0.0,0.0,1
CPP_positive_285,6.0,0.0,1.0,0.0,1
CPP_positive_286,7.0,0.0,0.0,0.0,1
CPP_positive_287,7.0,0.0,0.0,0.0,1
CPP_positive_288,9.0,0.0,0.0,0.0,1
CPP_positive_289,8.0,0.0,0.0,0.0,1
CPP_positive_290,6.0,1.0,0.0,0.0,1
CPP_positive_291,3.0,1.0,2.0,1.0,1
CPP_positive_292,4.0,0.0,0.0,0.0,1
CPP_positive_293,9.0,0.0,0.0,0.0,1
CPP_positive_294,7.0,0.0,0.0,0.0,1
CPP_positive_295,4.0,0.0,0.0,0.0,1
CPP_positive_296,4.0,0.0,0.0,0.0,1
CPP_positive_297,4.0,0.0,0.0,0.0,1
CPP_positive_298,4.0,0.0,0.0,0.0,1
CPP_positive_299,5.0,0.0,0.0,0.0,1
CPP_positive_300,8.0,0.0,0.0,0.0,1
CPP_positive_301,5.0,0.0,0.0,0.0,1
CPP_positive_302,5.0,0.0,0.0,0.0,1
CPP_positive_303,5.0,0.0,0.0,0.0,1
CPP_positive_304,4.0,1.0,0.0,0.0,1
CPP_positive_305,6.0,0.0,0.0,0.0,1
CPP_positive_306,7.0,0.0,2.0,0.0,1
CPP_positive_307,4.0,0.0,0.0,0.0,1
CPP_positive_308,3.0,0.0,1.0,0.0,1
CPP_positive_309,6.0,0.0,0.0,0.0,1
CPP_positive_310,6.0,0.0,0.0,0.0,1
CPP_positive_311,9.0,0.0,0.0,0.0,1
CPP_positive_312,5.0,0.0,0.0,0.0,1
CPP_positive_313,6.0,0.0,0.0,0.0,1
CPP_positive_314,4.0,0.0,1.0,0.0,1
CPP_positive_315,9.0,0.0,0.0,0.0,1
CPP_positive_316,9.0,0.0,0.0,0.0,1
CPP_positive_317,9.0,0.0,1.0,0.0,1
CPP_positive_318,6.0,1.0,0.0,0.0,1
CPP_positive_319,8.0,0.0,0.0,0.0,1
CPP_positive_320,6.0,0.0,0.0,0.0,1
CPP_positive_321,5.0,0.0,0.0,0.0,1
CPP_positive_322,4.0,0.0,0.0,0.0,1
CPP_positive_323,5.0,0.0,0.0,0.0,1
CPP_positive_324,6.0,0.0,0.0,0.0,1
