name,type3B_T1.G.1_T1.G.1_gap2,type3B_T1.G.1_T1.G.2_gap2,type3B_T1.G.2_T1.G.1_gap2,type3B_T1.G.2_T1.G.2_gap2,target
CPP_positive_1,3.0,1.0,0.0,0.0,1
CPP_positive_2,3.0,1.0,2.0,0.0,1
CPP_positive_3,6.0,2.0,0.0,0.0,1
CPP_positive_4,5.0,3.0,1.0,0.0,1
CPP_positive_5,2.0,3.0,1.0,0.0,1
CPP_positive_6,3.0,0.0,1.0,0.0,1
CPP_positive_7,2.0,2.0,0.0,0.0,1
CPP_positive_8,3.0,0.0,1.0,0.0,1
CPP_positive_9,4.0,0.0,0.0,0.0,1
CPP_positive_10,2.0,2.0,0.0,0.0,1
CPP_positive_11,3.0,1.0,1.0,0.0,1
CPP_positive_12,4.0,3.0,2.0,0.0,1
CPP_positive_13,1.0,1.0,1.0,0.0,1
CPP_positive_14,8.0,0.0,2.0,0.0,1
CPP_positive_15,3.0,0.0,0.0,0.0,1
CPP_positive_16,9.0,1.0,0.0,0.0,1
CPP_positive_17,2.0,1.0,0.0,1.0,1
CPP_positive_18,3.0,0.0,1.0,0.0,1
CPP_positive_19,4.0,0.0,1.0,0.0,1
CPP_positive_20,1.0,1.0,2.0,3.0,1
CPP_positive_21,3.0,1.0,2.0,0.0,1
CPP_positive_22,5.0,0.0,0.0,0.0,1
CPP_positive_23,6.0,0.0,0.0,0.0,1
CPP_positive_24,3.0,1.0,1.0,0.0,1
CPP_positive_25,5.0,0.0,1.0,0.0,1
CPP_positive_26,5.0,1.0,1.0,2.0,1
CPP_positive_27,4.0,1.0,3.0,1.0,1
CPP_positive_28,6.0,0.0,0.0,0.0,1
CPP_positive_29,4.0,1.0,0.0,0.0,1
CPP_positive_30,5.0,0.0,0.0,1.0,1
CPP_positive_31,1.0,2.0,1.0,1.0,1
CPP_positive_32,2.0,3.0,1.0,0.0,1
CPP_positive_33,3.0,0.0,2.0,0.0,1
CPP_positive_34,1.0,2.0,2.0,0.0,1
CPP_positive_35,6.0,0.0,0.0,0.0,1
CPP_positive_36,1.0,1.0,2.0,0.0,1
CPP_positive_37,4.0,2.0,1.0,0.0,1
CPP_positive_38,6.0,0.0,1.0,0.0,1
CPP_positive_39,3.0,1.0,0.0,0.0,1
CPP_positive_40,4.0,0.0,0.0,0.0,1
CPP_positive_41,5.0,0.0,2.0,1.0,1
CPP_positive_42,2.0,2.0,2.0,0.0,1
CPP_positive_43,5.0,0.0,0.0,0.0,1
CPP_positive_44,3.0,0.0,1.0,0.0,1
CPP_positive_45,1.0,4.0,1.0,0.0,1
CPP_positive_46,1.0,1.0,0.0,1.0,1
CPP_positive_47,3.0,0.0,0.0,0.0,1
CPP_positive_48,7.0,0.0,0.0,0.0,1
CPP_positive_49,5.0,0.0,1.0,0.0,1
CPP_positive_50,1.0,0.0,2.0,0.0,1
CPP_positive_51,3.0,0.0,2.0,0.0,1
CPP_positive_52,4.0,0.0,0.0,0.0,1
CPP_positive_53,3.0,1.0,0.0,0.0,1
CPP_positive_54,4.0,1.0,0.0,0.0,1
CPP_positive_55,2.0,2.0,3.0,0.0,1
CPP_positive_56,6.0,0.0,0.0,0.0,1
CPP_positive_57,5.0,2.0,1.0,0.0,1
