name,type5_T1.G.1_T1.G.1_gap2,type5_T1.G.1_T1.G.2_gap2,type5_T1.G.1_T1.G.3_gap2,type5_T1.G.2_T1.G.1_gap2,type5_T1.G.2_T1.G.2_gap2,type5_T1.G.2_T1.G.3_gap2,type5_T1.G.3_T1.G.1_gap2,type5_T1.G.3_T1.G.2_gap2,type5_T1.G.3_T1.G.3_gap2,target
CPP_positive_1,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1
CPP_positive_2,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1
CPP_positive_3,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1
CPP_positive_4,5.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
CPP_positive_5,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1
CPP_positive_6,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
CPP_positive_7,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
CPP_positive_8,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1
CPP_positive_9,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1
CPP_positive_10,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
CPP_positive_11,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1
CPP_positive_12,1.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,1
CPP_positive_13,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
CPP_positive_14,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,1
CPP_positive_15,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
CPP_positive_16,1.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,2.0,1
CPP_positive_17,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
CPP_positive_18,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1
CPP_positive_19,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
CPP_positive_20,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1
CPP_positive_21,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1
