name,type9_T1.G.1_T1.G.1_gap2,type9_T1.G.1_T1.G.2_gap2,type9_T1.G.2_T1.G.1_gap2,type9_T1.G.2_T1.G.2_gap2,target
CPP_positive_1,1.0,1.0,2.0,0.0,1
CPP_positive_2,4.0,0.0,2.0,0.0,1
CPP_positive_3,8.0,0.0,0.0,0.0,1
CPP_positive_4,7.0,2.0,0.0,0.0,1
CPP_positive_5,3.0,2.0,1.0,0.0,1
CPP_positive_6,3.0,1.0,0.0,0.0,1
CPP_positive_7,4.0,0.0,0.0,0.0,1
CPP_positive_8,3.0,1.0,0.0,0.0,1
CPP_positive_9,2.0,2.0,0.0,0.0,1
CPP_positive_10,4.0,0.0,0.0,0.0,1
CPP_positive_11,5.0,0.0,0.0,0.0,1
CPP_positive_12,6.0,1.0,2.0,0.0,1
CPP_positive_13,2.0,0.0,1.0,0.0,1
CPP_positive_14,7.0,0.0,1.0,2.0,1
CPP_positive_15,2.0,0.0,0.0,1.0,1
CPP_positive_16,6.0,2.0,2.0,0.0,1
CPP_positive_17,4.0,0.0,0.0,0.0,1
CPP_positive_18,2.0,1.0,0.0,1.0,1
CPP_positive_19,5.0,0.0,0.0,0.0,1
CPP_positive_20,3.0,2.0,1.0,1.0,1
CPP_positive_21,4.0,0.0,1.0,1.0,1
CPP_positive_22,4.0,0.0,0.0,1.0,1
CPP_positive_23,6.0,0.0,0.0,0.0,1
CPP_positive_24,5.0,0.0,0.0,0.0,1
CPP_positive_25,3.0,2.0,1.0,0.0,1
CPP_positive_26,9.0,0.0,0.0,0.0,1
CPP_positive_27,6.0,1.0,2.0,0.0,1
CPP_positive_28,6.0,0.0,0.0,0.0,1
CPP_positive_29,3.0,0.0,2.0,0.0,1
CPP_positive_30,6.0,0.0,0.0,0.0,1
CPP_positive_31,1.0,2.0,2.0,0.0,1
CPP_positive_32,2.0,1.0,3.0,0.0,1
CPP_positive_33,5.0,0.0,0.0,0.0,1
CPP_positive_34,4.0,0.0,1.0,0.0,1
CPP_positive_35,6.0,0.0,0.0,0.0,1
CPP_positive_36,4.0,0.0,0.0,0.0,1
CPP_positive_37,2.0,3.0,1.0,1.0,1
CPP_positive_38,6.0,1.0,0.0,0.0,1
CPP_positive_39,3.0,0.0,0.0,1.0,1
CPP_positive_40,4.0,0.0,0.0,0.0,1
CPP_positive_41,8.0,0.0,0.0,0.0,1
CPP_positive_42,5.0,0.0,1.0,0.0,1
CPP_positive_43,5.0,0.0,0.0,0.0,1
CPP_positive_44,4.0,0.0,0.0,0.0,1
CPP_positive_45,3.0,1.0,2.0,0.0,1
CPP_positive_46,2.0,1.0,0.0,0.0,1
CPP_positive_47,3.0,0.0,0.0,0.0,1
CPP_positive_48,3.0,3.0,1.0,0.0,1
CPP_positive_49,5.0,1.0,0.0,0.0,1
CPP_positive_50,3.0,0.0,0.0,0.0,1
CPP_positive_51,5.0,0.0,0.0,0.0,1
CPP_positive_52,2.0,1.0,0.0,1.0,1
CPP_positive_53,4.0,0.0,0.0,0.0,1
CPP_positive_54,3.0,1.0,1.0,0.0,1
CPP_positive_55,6.0,1.0,0.0,0.0,1
CPP_positive_56,6.0,0.0,0.0,0.0,1
CPP_positive_57,3.0,0.0,3.0,2.0,1
CPP_positive_58,4.0,0.0,0.0,0.0,1
CPP_positive_59,7.0,0.0,1.0,0.0,1
CPP_positive_60,4.0,0.0,0.0,0.0,1
CPP_positive_61,7.0,1.0,0.0,1.0,1
CPP_positive_62,6.0,0.0,0.0,0.0,1
CPP_positive_63,8.0,0.0,0.0,0.0,1
CPP_positive_64,6.0,0.0,0.0,0.0,1
CPP_positive_65,6.0,1.0,1.0,0.0,1
CPP_positive_66,4.0,0.0,0.0,0.0,1
CPP_positive_67,6.0,0.0,0.0,0.0,1
CPP_positive_68,3.0,0.0,1.0,0.0,1
CPP_positive_69,7.0,1.0,0.0,0.0,1
CPP_positive_70,4.0,0.0,1.0,0.0,1
CPP_positive_71,6.0,0.0,0.0,0.0,1
CPP_positive_72,6.0,1.0,1.0,0.0,1
CPP_positive_73,4.0,0.0,0.0,0.0,1
CPP_positive_74,2.0,1.0,0.0,2.0,1
CPP_positive_75,7.0,0.0,0.0,0.0,1
CPP_positive_76,2.0,1.0,0.0,0.0,1
CPP_positive_77,3.0,0.0,1.0,0.0,1
CPP_positive_78,4.0,0.0,0.0,0.0,1
CPP_positive_79,1.0,1.0,0.0,1.0,1
CPP_positive_80,4.0,0.0,0.0,0.0,1
CPP_positive_81,7.0,2.0,0.0,1.0,1
CPP_positive_82,5.0,0.0,0.0,0.0,1
CPP_positive_83,6.0,0.0,0.0,0.0,1
CPP_positive_84,5.0,2.0,2.0,0.0,1
CPP_positive_85,3.0,0.0,0.0,1.0,1
CPP_positive_86,4.0,0.0,1.0,1.0,1
CPP_positive_87,4.0,1.0,2.0,0.0,1
CPP_positive_88,8.0,0.0,0.0,0.0,1
CPP_positive_89,6.0,0.0,0.0,0.0,1
CPP_positive_90,4.0,0.0,1.0,0.0,1
CPP_positive_91,8.0,0.0,0.0,0.0,1
CPP_positive_92,4.0,0.0,0.0,0.0,1
CPP_positive_93,7.0,0.0,1.0,1.0,1
CPP_positive_94,8.0,0.0,0.0,0.0,1
CPP_positive_95,2.0,1.0,1.0,1.0,1
CPP_positive_96,1.0,1.0,2.0,0.0,1
CPP_positive_97,4.0,0.0,0.0,0.0,1
CPP_positive_98,5.0,0.0,0.0,0.0,1
CPP_positive_99,3.0,0.0,0.0,0.0,1
CPP_positive_100,2.0,0.0,0.0,0.0,1
CPP_positive_101,3.0,0.0,0.0,0.0,1
CPP_positive_102,4.0,0.0,0.0,0.0,1
CPP_positive_103,4.0,0.0,0.0,0.0,1
CPP_positive_104,4.0,3.0,3.0,0.0,1
CPP_positive_105,6.0,0.0,0.0,0.0,1
CPP_positive_106,3.0,0.0,0.0,0.0,1
CPP_positive_107,5.0,0.0,3.0,0.0,1
CPP_positive_108,3.0,0.0,1.0,0.0,1
CPP_positive_109,4.0,0.0,0.0,0.0,1
CPP_positive_110,2.0,2.0,0.0,0.0,1
CPP_positive_111,6.0,0.0,0.0,0.0,1
CPP_positive_112,2.0,0.0,3.0,0.0,1
CPP_positive_113,4.0,0.0,0.0,0.0,1
CPP_positive_114,6.0,0.0,0.0,1.0,1
CPP_positive_115,2.0,1.0,1.0,0.0,1
CPP_positive_116,4.0,0.0,0.0,0.0,1
CPP_positive_117,6.0,0.0,0.0,0.0,1
